x,y
501.0,0.0012
500.0,0.0012
499.0,0.0011
498.0,0.0010500000000000002
497.0,0.001
496.0,0.001
495.0,0.0009
494.0,0.0009
493.0,0.0009
492.0,0.0007
491.0,0.0007
490.0,0.0007
489.0,0.0006
488.0,0.0007
487.0,0.0007
486.0,0.0007
485.0,0.0006
484.0,0.0006
483.0,0.0006
482.0,0.0006
481.0,0.0005
480.0,0.0006
479.0,0.0004
478.0,0.0004
477.0,0.0005
476.0,0.0006
475.0,0.0001
474.0,0.0004
473.0,0.0002
472.0,0.0004
471.0,0.0002
470.0,0.0004
469.0,0.0
468.0,0.0
467.0,0.0
466.0,-0.0001
465.0,0.0
464.0,0.0
463.0,0.0
462.0,-0.0001
461.0,-0.0002
460.0,-0.0005
459.0,-0.0006
458.0,-0.0006
457.0,-0.0004
456.0,-0.0006
455.0,-0.0005
454.0,-0.0004
453.0,-0.0004
452.0,0.0
451.0,0.0004
450.0,0.0004
449.0,0.0004
448.0,0.0007
447.0,0.0007
446.0,0.0006
445.0,0.0004
444.0,0.0004
443.0,0.0005
442.0,0.0001
441.0,0.0
440.0,-5e-05
439.0,-0.0001
438.0,-0.0002
437.0,0.0
436.0,-0.0001
435.0,-0.0001
434.0,-0.0002
433.0,-0.0002
432.0,-0.0005
431.0,-0.0002
430.0,-0.0004
429.0,-0.0005
428.0,-0.001
427.0,-0.0005
426.0,-0.0005
425.0,-0.0009
424.0,-0.0005
423.0,-0.0004
422.0,-0.0004
421.0,-0.0006
420.0,-0.0007
419.0,-0.0009
418.0,-0.0007
417.0,-0.0007
416.0,-0.0008500000000000001
415.0,-0.001
414.0,-0.0008500000000000001
413.0,-0.0007
412.0,-0.0009
411.0,-0.0009
410.0,-0.0002
409.0,-0.0001666666666666667
408.0,-0.00013333333333333334
407.0,-0.0001
406.0,0.0
405.0,0.0001
404.0,0.0002
403.0,0.0007
402.0,0.0011
401.0,0.0016
400.0,0.0024000000000000002
399.0,0.0032
398.0,0.004
397.0,0.0049
396.0,0.0062
395.0,0.0078
394.0,0.0094
393.0,0.0111
392.0,0.0132
391.0,0.0157
390.0,0.0182
389.0,0.0214
388.0,0.02513333333333333
387.0,0.028866666666666665
386.0,0.0326
385.0,0.0371
384.0,0.042
383.0,0.0472
382.0,0.0526
381.0,0.059
380.0,0.0659
379.0,0.073
378.0,0.08
377.0,0.088
376.0,0.0962
375.0,0.1046
374.0,0.1134
373.0,0.1228
372.0,0.1322
371.0,0.1409
370.0,0.1497
369.0,0.1584
368.0,0.1667
367.0,0.17465
366.0,0.1826
365.0,0.19056666666666666
364.0,0.19853333333333334
363.0,0.2065
362.0,0.2123
361.0,0.2174
360.0,0.22205000000000003
359.0,0.2267
358.0,0.2306
357.0,0.2341
356.0,0.2362
355.0,0.2378
354.0,0.2393
353.0,0.2401
352.0,0.2396
351.0,0.2391
350.0,0.2379
349.0,0.2361
348.0,0.2332
347.0,0.2302
346.0,0.2272
345.0,0.22285
344.0,0.2185
343.0,0.21345
342.0,0.2084
341.0,0.2031
340.0,0.1897
339.0,0.1859
338.0,0.1807
337.0,0.1747
336.0,0.1688
335.0,0.1624
334.0,0.1563
333.0,0.1503
332.0,0.1437
331.0,0.137
330.0,0.13075
329.0,0.1245
328.0,0.1192
327.0,0.1139
326.0,0.1086
325.0,0.1033
324.0,0.098
323.0,0.0931
322.0,0.08885
321.0,0.0846
320.0,0.0808
319.0,0.0769
318.0,0.0732
317.0,0.0699
316.0,0.0673
315.0,0.0647
314.0,0.0625
313.0,0.0604
312.0,0.0588
311.0,0.0576
310.0,0.0568
309.0,0.0559
308.0,0.0548
307.0,0.0542
306.0,0.0505
305.0,0.0499
304.0,0.0485
303.0,0.0471
302.0,0.0461
301.0,0.045
300.0,0.0439
299.0,0.0425
298.0,0.0411
297.0,0.0404
296.0,0.0391
295.0,0.0377
294.0,0.0363
293.0,0.0348
292.0,0.03365
291.0,0.0325
290.0,0.0309
289.0,0.0293
288.0,0.0281
287.0,0.0266
286.0,0.0251
285.0,0.0233
284.0,0.0221
283.0,0.0211
282.0,0.0201
281.0,0.019
280.0,0.0179
279.0,0.0168
278.0,0.0159
277.0,0.015200000000000002
276.0,0.0145
275.0,0.013500000000000002
274.0,0.0125
273.0,0.012
272.0,0.0117
271.0,0.0114
270.0,0.0115
269.0,0.0116
268.0,0.0115
267.0,0.0122
266.0,0.0123
265.0,0.0134
264.0,0.0145
263.0,0.0161
262.0,0.0177
261.0,0.0204
260.0,0.022766666666666668
259.0,0.025133333333333334
258.0,0.0275
257.0,0.0299
256.0,0.0327
255.0,0.0358
254.0,0.0387
253.0,0.0454
252.0,0.0513
251.0,0.0636
250.0,0.0636
